Sample ID,Lithological descripton,"Packing (Embry & Klovan, 1971)",Calcite (%),MgCO3 in dolomite (%mol),Sr(ppm),IC (%Wt),Ti(ppm),Zr(ppm),Mn(ppm),V/Cr,Ni/Co,Ce/Ce*,δ13C (VPDB),1σ,δ18O (VPDB) ,1σ,87Sr/86Sr Initial Value,1 SE,δ26MgDSM3,2σ,δ25MgDSM3,2σ
MG88,Limestone,grainstone,1.00,,498.62,11.54,133.55,3.12,158.67,4.00,9.87,0.60,0.93,0.04,-6.14,0.03,0.707502,4,,,,
MG87,Limestone,floatstone,1.00,,439.73,10.23,283.27,8.02,166.01,1.03,110.58,0.82,0.43,0.12,-6.43,0.13,0.707559,4,,,,
MG86,Limestone,mudstone,0.97,48.13,377.03,,518.48,15.95,196.60,3.62,8.86,0.96,1.33,0.11,-5.12,0.09,0.707531,5,,,,
MG85,Limestone,grainstone,1.00,,418.40,11.28,218.33,0.70,147.98,2.02,21.34,0.71,0.81,0.08,-6.67,0.07,0.707599,6,,,,
MG84,Limestone,mudstone,1.00,,505.25,11.77,274.89,5.57,143.41,1.99,10.08,0.88,0.88,0.08,-6.31,0.05,0.707648,6,,,,
MG83,Limestone,mudstone,0.54,47.77,355.66,10.38,798.96,37.03,188.89,1.83,9.41,1.02,2.84,0.13,-2.46,0.08,0.707328,4,,,,
MG82,Limestone,packstone,0.97,48.03,376.80,13.00,190.02,2.91,144.46,1.61,10.21,0.75,1.06,0.07,-5.93,0.08,0.707661,4,,,,
MG81,Limestone,wackestone,1.00,,337.73,,210.19,3.89,137.65,1.76,15.34,0.63,0.49,0.07,-7.36,0.09,0.707601,4,,,,
MG80,Limestone,mudstone,0.63,48.30,226.93,,150.35,2.39,1076.77,2.56,27.09,0.63,-0.33,0.07,-4.98,0.06,0.707786,4,,,,
MG79,Dolomite,packstone,0.09,48.17,282.39,9.20,93.27,0.83,1008.68,3.34,5.53,0.12,2.39,0.05,-1.48,0.10,0.707681,5,-2.18,0.01,-1.13,0.04
MG78,Limestone,mudstone,0.57,48.10,286.74,11.11,86.28,0.95,697.75,3.22,6.57,0.44,0.35,0.10,-3.85,0.09,0.707808,4,,,,
MG77,Dolomite,sparstone,0.00,48.23,372.23,,623.46,15.16,316.11,2.63,7.61,0.91,2.72,0.13,0.42,0.11,0.707452,5,-2.21,0.02,-1.14,0.04
